Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Sequencing Tech	CheckM completeness	CheckM contamination
GCA_002224265.1	ASM222426v1	Vibrio vulnificus NBRC 15645 = ATCC 27562	1219061		ATCC 27562					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5007160	Complete Genome	2017-07-24		3266118	3266118	2	PacBio; Illumina	98.23	1.08
GCF_002224265.1	ASM222426v1	Vibrio vulnificus NBRC 15645 = ATCC 27562	1219061		ATCC 27562					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5007160	Complete Genome	2017-07-24		3266118	3266118	2	PacBio; Illumina	98.23	1.08
GCA_001558415.2	ASM155841v2	Vibrio fluvialis	676		ATCC 33809					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4827733	Complete Genome	2018-01-29		3155838	3155838	2	PacBio; Illumina	99.93	1.25
GCF_001558415.2	ASM155841v2	Vibrio fluvialis	676		ATCC 33809					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4827733	Complete Genome	2018-01-29		3155838	3155838	2	PacBio; Illumina	99.93	1.25
GCA_001456255.1	ASM145625v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		ATCC 14048					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5175153	Complete Genome	2015-12-03		3248023	3248023	2	PacBio	99.93	3.79
GCF_001456255.1	ASM145625v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		ATCC 14048					GCF_001456255.1-RS_2024_04_26	5175153	Complete Genome	2015-12-03		3248023	3248023	2	PacBio	99.93	3.79
GCA_024347355.1	ASM2434735v1	Vibrio chagasii	170679		LMG 21353						5569803	Complete Genome	2022-07-13		3413052	3413052	5	Illumina MiSeq; Nanopore	99.34	0.84
GCF_024347355.1	ASM2434735v1	Vibrio chagasii	170679		LMG 21353					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5569803	Complete Genome	2022-07-13		3413052	3413052	5	Illumina MiSeq; Nanopore	99.34	0.84
GCA_006364355.1	ASM636435v1	Vibrio furnissii	29494		FDAARGOS_777					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4993326	Complete Genome	2019-06-19		3275692	3275692	3	Pacbio; Illumina	99.48	1.81
GCF_006364355.1	ASM636435v1	Vibrio furnissii	29494		FDAARGOS_777					GCF_006364355.1-RS_2024_03_28	4993326	Complete Genome	2019-06-19		3275692	3275692	3	Pacbio; Illumina	99.48	1.81
GCA_024347315.1	ASM2434731v1	Vibrio atlanticus	693153		CECT 7223						5107681	Complete Genome	2022-07-13		3469123	3469123	3	Illumina MiSeq; Nanopore	99.74	0.54
GCF_024347315.1	ASM2434731v1	Vibrio atlanticus	693153		CECT 7223					GCF_024347315.1-RS_2024_03_29	5107681	Complete Genome	2022-07-13		3469123	3469123	3	Illumina MiSeq; Nanopore	99.74	0.54
GCA_000772105.1	ASM77210v1	Vibrio tubiashii ATCC 19109	1051646		ATCC 19109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5540337	Complete Genome	2014-11-05		3294490	3294490	6	PacBio	100	0.75
GCF_000772105.1	ASM77210v1	Vibrio tubiashii ATCC 19109	1051646		19109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5540337	Complete Genome	2014-11-05		3294490	3294490	6	PacBio	100	0.75
GCA_023920225.1	ASM2392022v1	Vibrio gazogenes	687		PB1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4712479	Complete Genome	2022-06-27		3516273	3516273	2	Illumina NovaSeq; PacBio Sequel	91.96	4.2
GCF_023920225.1	ASM2392022v1	Vibrio gazogenes	687		PB1					GCF_023920225.1-RS_2024_07_04	4712479	Complete Genome	2022-06-27		3516273	3516273	2	Illumina NovaSeq; PacBio Sequel	91.96	4.2
GCA_019977755.1	ASM1997775v1	Vibrio penaeicida	104609		IFO 15640						6782963	Complete Genome	2021-09-09		4134604	4134604	3	Illumina Miseq; ONT GridION	98.4	4.76
GCF_019977755.1	ASM1997775v1	Vibrio penaeicida	104609		IFO 15640T					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6782963	Complete Genome	2021-09-09		4134604	4134604	3	Illumina Miseq; ONT GridION	98.4	4.76
GCA_024347415.1	ASM2434741v1	Vibrio crassostreae	246167		LMG 22240						5804381	Complete Genome	2022-07-13		3475743	3475743	4	Illumina MiSeq; Nanopore	99.87	0.46
GCF_024347415.1	ASM2434741v1	Vibrio crassostreae	246167		LMG 22240					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5804381	Complete Genome	2022-07-13		3475743	3475743	4	Illumina MiSeq; Nanopore	99.87	0.46
GCA_038452265.1	ASM3845226v1	Vibrio diazotrophicus	685		ATCC 33466						4820957	Complete Genome	2024-04-25		3324879	3324879	2	Illumina NovaSeq	98.75	2.29
GCF_038452265.1	ASM3845226v1	Vibrio diazotrophicus	685		ATCC 33466					GCF_038452265.1-RS_2024_04_25	4820957	Complete Genome	2024-04-26		3324879	3324879	2	Illumina NovaSeq	98.75	2.29
GCA_024347635.1	ASM2434763v1	Vibrio tasmaniensis	212663		LMG 20012						4992314	Complete Genome	2022-07-13		3226267	3226267	4	Illumina MiSeq; Nanopore	99.55	0.45
GCF_024347635.1	ASM2434763v1	Vibrio tasmaniensis	212663		LMG 20012					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4992314	Complete Genome	2022-07-13		3226267	3226267	4	Illumina MiSeq; Nanopore	99.55	0.45
GCA_002906655.1	ASM290665v1	Vibrio hyugaensis	1534743		090810a						5612082	Complete Genome	2018-01-17		3530957	3530957	2	PacBio	99.84	0.38
GCF_002906655.1	ASM290665v1	Vibrio hyugaensis	1534743		090810a					GCF_002906655.1-RS_2024_04_22	5612082	Complete Genome	2018-01-17		3530957	3530957	2	PacBio	99.84	0.38
GCA_024347475.1	ASM2434747v1	Vibrio fortis	212667		LMG 21557						5281637	Complete Genome	2022-07-13		3262072	3262072	3	Illumina MiSeq; Nanopore	99.61	0.63
GCF_024347475.1	ASM2434747v1	Vibrio fortis	212667		LMG 21557					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5281637	Complete Genome	2022-07-13		3262072	3262072	3	Illumina MiSeq; Nanopore	99.61	0.63
GCA_024347535.1	ASM2434753v1	Vibrio kanaloae	170673		LMG 20539						4652496	Complete Genome	2022-07-13		3174145	3174145	2	Illumina MiSeq; Nanopore	99.78	1.24
GCF_024347535.1	ASM2434753v1	Vibrio kanaloae	170673		LMG 20539					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4652496	Complete Genome	2022-07-13		3174145	3174145	2	Illumina MiSeq; Nanopore	99.78	1.24
GCA_001547935.1	ASM154793v1	Vibrio tritonius	1435069		JCM 16456						5221926	Complete Genome	2015-09-11		3434724	3434724	2	454 GS FLX; ABI3730; Illumina MiSeq	96.4	3.62
GCF_001547935.1	ASM154793v1	Vibrio tritonius	1435069		AM2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5221926	Complete Genome	2015-09-11		3434724	3434724	2	454 GS FLX; ABI3730; Illumina MiSeq	96.4	3.62
